dataset,horizon,model_name,baseline_model,n_series_paired,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,bootstrap_se,ci95_low,ci95_high,n_boot,contrast_id
Favorita,7,chronos2,lightgbm_cov,100,0.24843651588458968,0.27057795074753294,-0.08537288597015666,0.010553336610789667,-0.10648700410660326,-0.06562399766204105,1000,Favorita_h7_chronos2_vs_lightgbm_cov
Favorita,7,chronos_bolt_tiny,lightgbm_cov,100,0.3270576095914527,0.27057795074753294,0.18957610190901308,0.025728078363734187,0.1389266453536257,0.23978442674749123,1000,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov
Favorita,7,moirai2,lightgbm_cov,100,0.2640473663648241,0.27057795074753294,-0.024431724490301135,0.008601002337986333,-0.043052106620034024,-0.008746724180904556,1000,Favorita_h7_moirai2_vs_lightgbm_cov
Favorita,7,timesfm25,lightgbm_cov,100,0.2751623752395243,0.27057795074753294,0.016801149241111535,0.016646817949097826,-0.014186734982610558,0.04944218222857263,1000,Favorita_h7_timesfm25_vs_lightgbm_cov
Favorita,7,tirex,lightgbm_cov,100,0.2577002221482755,0.27057795074753294,-0.04876324989155045,0.011608877095302568,-0.07462993288804946,-0.027080067155451425,1000,Favorita_h7_tirex_vs_lightgbm_cov
Favorita,14,chronos2,lightgbm_tuned_cov,100,0.2545926701453526,0.27746560862495173,-0.08603209660256739,0.012936526229208326,-0.1121031422112328,-0.06127579403711004,1000,Favorita_h14_chronos2_vs_lightgbm_tuned_cov
Favorita,14,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.33007218543629063,0.27746560862495173,0.17361438166281823,0.024497230252118758,0.12475909924894382,0.22053337708832832,1000,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_tuned_cov
Favorita,14,moirai2,lightgbm_tuned_cov,100,0.27247283491290597,0.27746560862495173,-0.01815807188204303,0.008816996690449825,-0.035231006528627984,-0.0015301399643996574,1000,Favorita_h14_moirai2_vs_lightgbm_tuned_cov
Favorita,14,timesfm25,lightgbm_tuned_cov,100,0.2829374883410056,0.27746560862495173,0.019528991366097894,0.01640617482040079,-0.011863711428301522,0.052170666960627415,1000,Favorita_h14_timesfm25_vs_lightgbm_tuned_cov
Favorita,14,tirex,lightgbm_tuned_cov,100,0.26489964129756377,0.27746560862495173,-0.04634595045109284,0.012019685469250948,-0.07061082485610537,-0.022577029397163408,1000,Favorita_h14_tirex_vs_lightgbm_tuned_cov
